#  orderOfFe  i      t         max |u_analytic|  max |error_u|  max |error_rho|   ||error_u||_2   ||error_rho||_2	# order of FE   dt        init time (sec)             loop time (sec)         time for one iteration (sec)
# dt = 0.128	# dt = 0.128
8 80000 40 0.0288675 0.000496472 7.52887e-12 7.95638e-06 4.57685e-13	8         0.0005      0.08932     1410.35        0.0176294
10 80000 40 0.0288675 0.000156925 7.20268e-12 2.0496e-06 3.53474e-13	10         0.0005      0.258129     3235.61        0.0404452
12 80000 40 0.0288675 7.89639e-05 7.26474e-12 7.37496e-07 2.98138e-13	12         0.0005      0.674631     7162.04        0.0895255
14 80000 40 0.0288675 1.85424e-05 7.39042e-12 1.59476e-07 2.59337e-13	14         0.0005      2.4391     14186.6        0.177333
	
# dt = 0.00025	# dt = 0.00025
4 160000 40 0.0288675 0.000756693 1.05332e-11 3.39388e-05 1.30563e-12	4         0.00025      0.010823     73.3465        0.000458415
6 160000 40 0.0288675 0.0011442 1.10986e-11 2.81251e-05 9.01704e-13	6         0.00025      0.047962     264.473        0.00165296
8 160000 40 0.0288675 0.000607133 1.13524e-11 9.67188e-06 6.9391e-13	8         0.00025      0.086007     2610.95        0.0163184
10 160000 40 0.0288675 0.000167247 1.08709e-11 2.16109e-06 5.37142e-13	10         0.00025      0.268085     6387.19        0.0399199
12 160000 40 0.0288675 0.000109628 1.0962e-11 1.01063e-06 4.49729e-13	12         0.00025      0.790224     12410.6        0.0775663
14 160000 40 0.0288675 4.11552e-05 1.06537e-11 3.06554e-07 3.75536e-13	14         0.00025      1.93547     24284.1        0.151776
	
# dt = 0.000125	# dt = 0.000125
4 320000 40 0.0288675 0.000750236 1.48007e-11 3.36341e-05 1.84231e-12	4         0.000125      3.67024     153.274        0.000478982
6 320000 40 0.0288675 0.00118781 1.96856e-11 2.9153e-05 1.58468e-12	6         0.000125      0.104095     530.22        0.00165694
8 320000 40 0.0288675 0.000537111 1.98495e-11 8.57971e-06 1.20785e-12	8         0.000125      0.240147     4933.77        0.015418
10 320000 40 0.0288675 0.000204641 1.93723e-11 2.4522e-06 9.43986e-13	10         0.000125      0.418639     11533.1        0.0360409
