Default Dataset,
X,Y
-0.90695067264574,-0.005554600709364088
-0.8161434977578477,-0.005871002015593874
-0.7253363228699552,-0.006187403321823215
-0.6278026905829597,-0.0013007609256106
-0.5369955156950673,-0.0016171622318403855
-0.4428251121076232,-0.0019452821049674718
-0.3419282511210763,-0.0022968391118891596
-0.25784753363228696,0.0026366775519131025
-0.1670403587443945,-0.002906204590553685
-0.12668161434977576,0.10148278933141652
-0.12331838565022424,0.3053038233777594
-0.11995515695067249,0.5457102232777609
-0.11659192825112097,0.7704371806690518
-0.11322869955156944,0.9115404446805513
-0.08632286995515681,1.0368822362150587
-0.0594170403587444,1.1517710660770921
-0.03587443946188329,1.27189809534226
-0.022421524663676973,1.3920602803081197
-0.012331838565022402,1.465195856314745
-0.0022421524663676085,1.5383314323213695
0.007847533632286963,1.156763175575381
0.017937219730941756,0.8954039780628424
0.03811659192825112,0.5869712973234791
0.058295964125560706,0.393521194981328
0.11210762331838575,0.231312791987625
0.21636771300448432,0.06370212965422395
0.2970852017937222,-0.004523366822393626
0.3778026905829599,-0.041389978281589634
0.49887892376681653,-0.08885017421602814
0.6199551569506727,-0.12063092764175609
0.7107623318385652,-0.141853252292933
0.8049327354260092,-0.14740785300229708
0.8923766816143501,-0.13725957406915557
0.9932735426008972,-0.11147872689489269
1.070627802690583,-0.08561584975234782
1.2118834080717493,-0.04952266370837988
1.3363228699551575,-0.039503289011109555
1.433856502242153,-0.029390165778660382
