X;Y
-1.011210762331830000000000;-0.002976190476190240000000
-0.942451420029895000000000;-0.001488095238095120000000
-0.881165919282511000000000;-0.002976190476190240000000
-0.822869955156950000000000;0.000000000000000222044605
-0.766068759342301000000000;-0.002976190476190240000000
-0.718236173393124000000000;-0.002976190476190240000000
-0.667414050822122000000000;-0.002976190476190240000000
-0.661434977578475000000000;-0.002976190476190240000000
-0.625560538116592000000000;-0.004464285714285580000000
-0.580717488789237000000000;-0.002976190476190240000000
-0.544843049327354000000000;-0.002976190476190240000000
-0.508968609865470000000000;-0.002976190476190240000000
-0.473094170403587000000000;-0.002976190476190240000000
-0.447683109118086000000000;-0.002976190476190240000000
-0.416292974588938000000000;-0.002976190476190240000000
-0.384902840059790000000000;-0.002976190476190240000000
-0.360986547085201000000000;-0.002976190476190240000000
-0.329596412556053000000000;-0.002976190476190240000000
-0.301195814648729000000000;-0.002976190476190240000000
-0.274289985052316000000000;-0.002976190476190240000000
-0.244394618834080000000000;-0.004464285714285580000000
-0.214482339958021000000000;-0.004405407214493890000000
-0.182653580825574000000000;-0.004350909811126730000000
-0.156203288490283000000000;-0.002976190476190240000000
-0.129297458893871000000000;-0.002976190476190240000000
-0.102391629297458000000000;-0.002976190476190240000000
-0.081464872944693400000000;-0.002976190476190240000000
-0.081464872944693400000000;0.125000000000000000000000
-0.081464872944693400000000;0.276785714285714000000000
-0.078475336322869800000000;0.687500000000000000000000
-0.075485799701046300000000;0.895833333333333000000000
-0.072496263079222700000000;1.157738095238090000000000
-0.069506726457399100000000;1.202380952380950000000000
-0.063527653213751800000000;1.230654761904760000000000
-0.057548579970104500000000;1.263392857142850000000000
-0.048579970104633600000000;1.309523809523800000000000
-0.044095665171898200000000;1.355654761904760000000000
-0.039611360239163000000000;1.395833333333330000000000
-0.036621823617339400000000;1.431547619047610000000000
-0.035127055306427500000000;1.462797619047610000000000
-0.033632286995515400000000;1.497023809523800000000000
-0.029147982062780000000000;1.540178571428570000000000
-0.024663677130044800000000;1.574404761904760000000000
-0.017189835575485800000000;1.630952380952380000000000
-0.008221225710014930000000;1.693452380952380000000000
-0.002242152466367830000000;1.580357142857140000000000
-0.003736920777279490000000;1.513392857142850000000000
-0.005231689088191380000000;1.436011904761900000000000
-0.003736920777279490000000;1.349702380952380000000000
-0.000747384155455943000000;1.264880952380950000000000
-0.000747384155455943000000;1.172619047619040000000000
0.002242152466367600000000;1.080357142857140000000000
0.006384804453261500000000;0.996343554104857000000000
0.009829878336207410000000;0.916893418472984000000000
0.014428067584223200000000;0.843183120484206000000000
0.017189835575485800000000;0.777012466092031000000000
0.019026256832239400000000;0.712244948028857000000000
0.023168908819133100000000;0.654988656568222000000000
0.030528866058411500000000;0.603018699138047000000000
0.035582592567549700000000;0.556774370853936000000000
0.041561665811197000000000;0.508928571428571000000000
0.047312970424282900000000;0.467261904761905000000000
0.053519812298491400000000;0.425595238095238000000000
0.061805116272279200000000;0.393083894663460000000000
0.070773726137749900000000;0.357369608949174000000000
0.076980568011958400000000;0.325779481239698000000000
0.084796062512358700000000;0.298540263341349000000000
0.093992441008390700000000;0.267403639244508000000000
0.103886397608370000000000;0.242219396100047000000000
0.114463660100033000000000;0.215887185426968000000000
0.126421806587328000000000;0.190476190476190000000000
0.139988605700815000000000;0.163690476190476000000000
0.153099867553180000000000;0.142630391050825000000000
0.166438898036105000000000;0.121797057717492000000000
0.181614349775784000000000;0.099135501436587300000000
0.198170685511095000000000;0.076232984852333500000000
