Default Dataset,
X,Y
-0.9775516722306901,-0.0016416244944997826
-0.9466809778043387,-0.0009861932938856066
-0.912877479786412,-0.0012865992608337429
-0.877116242413626,-0.0009861932938856066
-0.8375518463477117,-0.00125322082006174
-0.7979863559066903,-0.0009861932938856066
-0.761085053265896,-0.0012865992608337429
-0.7287483207991194,-0.0012865992608337429
-0.7009767740923584,-0.0012865992608337429
-0.6701611546262557,-0.0009861932938856066
-0.6305962113727879,-0.0009861932938856066
-0.5936949087319936,-0.0012865992608337429
-0.5613575606792192,-0.0009861932938856066
-0.534509920614366,-0.0009861932938856066
-0.5001086006516754,-0.0012865992608337429
-0.46320606683888554,-0.0009861932938856066
-0.42630414861209354,-0.0009861932938856066
-0.39396803173131456,-0.0012865992608337429
-0.36505518858454966,-0.0012865992608337429
-0.33271845611777295,-0.0012865992608337429
-0.2958159223049832,-0.0009861932938856066
-0.2589146196641887,-0.0012865992608337429
-0.22451206852950256,-0.0009861932938856066
-0.19765519467468184,0.0035198962103368814
-0.1618599321849239,0.0204245592595107
-0.1420253036354635,0.04587713755002776
-0.12363560412293872,0.10880789611185437
-0.12274796429038948,0.17067435924792163
-0.11726274128616665,0.24835075927308936
-0.11804404303463123,0.3126376361999962
-0.11359694425717337,0.40353189877088325
-0.11468392842399622,0.46716646559813113
-0.11214516969075206,0.5179150469479072
-0.11050479423140036,0.5758147208156543
-0.11129419533277929,0.6361491135202859
-0.10809558703708366,0.7118628612280591
-0.10554409446776969,0.7688255545798488
-0.10481313006575754,0.828494762643381
-0.10300238385309779,0.8952750090959576
-0.09724396671439339,0.9577494366889436
-0.08221633605376666,1.0137184061754638
-0.06535726865110791,1.0723042454185099
-0.049995689426494794,1.142719404071159
-0.03810981427474047,1.2143705187021092
-0.029452212801053923,1.266555326674819
-0.01042341385980805,1.3113205840987767
-0.00579863937520142,1.4229113872877872
-0.006688475774930147,1.4837402577507133
0.0034826054330570066,1.249003035177419
0.0067111487964195415,1.091790579141214
0.004821094587703856,1.1595821923491825
0.00492861694199398,1.212053101242795
0.009069048363496757,1.0047729840485629
0.005259802208834374,1.3736715114609066
0.01183634193275962,0.8700051452571991
0.01046519740660834,0.9434901667911377
0.01775698943279136,0.7888669240891049
0.021124244841001172,0.6993459459385525
0.026560616699252027,0.6294157283468336
0.03283436139628515,0.5720682292564294
0.03995990856102649,0.4848382042300077
0.04895984180515711,0.42118432559059893
0.05945089288937622,0.3425924026185415
0.0790737835196631,0.26471687635242525
0.0987418710601844,0.20889744228056395
0.12753159700738026,0.14881624889093148
0.1601473951265131,0.09934939966680068
0.18974994082526297,0.06462246988759313
0.23075544485346877,0.025012577663809932
0.26114330666755414,0.002218137020228217
0.3006555706829035,-0.023489331181638873
0.3340879343011165,-0.04577399200252075
0.3736198970683966,-0.06186846926204659
0.41316230614351923,-0.07286514829457325
0.4492302732303224,-0.08200997409361865
0.4812247398822971,-0.08990635951054171
0.50898151252511,-0.09711610271729759
0.5454845310252987,-0.10612828172574251
0.5835063680692605,-0.11656056166885143
0.6169688394390047,-0.12415263974263224
0.6495651733151575,-0.13007492880532462
0.6839064296726305,-0.1331648187510771
0.7234664482381155,-0.13556806648666242
0.7630390023730109,-0.1318539563498488
0.796515576258342,-0.13256400681718078
0.829131257122999,-0.12904496549007372
0.8634950263398211,-0.1211485800731506
0.9030703661568082,-0.11607505707580384
0.9426656534473417,-0.10126716698785404
0.9784464776473316,-0.0914083893452825
1.0108072179680245,-0.07969255663430419
1.0408835186507155,-0.06887794182417029
1.0732325628374488,-0.06286982248520712
1.1101569779343443,-0.05189134987491972
1.1470745656228998,-0.044244652534421
1.1814898681818267,-0.0377215515378323
1.2083450711603676,-0.03403084965818348
1.240687343901125,-0.03132719595565003
1.277597264745889,-0.02742191838532393
1.3186888612740117,-0.025018670649738617
1.3567370006287904,-0.022615422914153305
1.3925013159315653,-0.020812987112464265
1.4248398951563355,-0.019911769211619856
1.4537576629910836,-0.017508521476034544
1.4800117902131575,-0.015405679707397368
