Default Dataset,
X,Y
-0.46475195822454307,0
-0.3629242819843342,0
-0.26370757180156656,0
-0.16187989556135773,-0.004273504273504258
-0.10182767624020883,0.012820512820512775
-0.09660574412532641,0.1495726495726497
-0.08877284595300261,0.4273504273504274
-0.08355091383812019,0.7307692307692308
-0.07571801566579639,0.8974358974358976
-0.06266318537859006,1.0170940170940173
-0.04960835509138384,1.123931623931624
-0.03655352480417762,1.2564102564102564
-0.031331592689295085,1.3376068376068377
-0.010443864229765065,1.482905982905983
-0.0026109660574412663,1.2051282051282053
0.0026109660574411553,0.9358974358974361
0.010443864229765065,0.841880341880342
0.036553524804177506,0.6666666666666667
0.06266318537859006,0.47435897435897445
0.09138381201044388,0.3717948717948718
0.19843342036553524,0.17948717948717952
0.2976501305483027,0.07264957264957284
0.3968668407310706,0.008547008547008517
0.4986945169712792,-0.04273504273504258
0.5979112271540471,-0.07264957264957239
0.6971279373368146,-0.08974358974358942
0.7963446475195822,-0.09829059829059839
0.8981723237597911,-0.1025641025641022
0.9973890339425587,-0.08547008547008517
1.096605744125326,-0.05555555555555536
1.198433420365535,-0.038461538461538325
1.3002610966057442,-0.02136752136752129
1.3994778067885116,0.004273504273504258
1.5013054830287205,0.025641025641025994
