Default Dataset,
X,Y
-0.9197742474916387,0.002677224155917035
-0.8817406059413732,0.002519800818097162
-0.7953005115089513,0.0028868500513558604
-0.762453275624631,0.0030263287599942013
-0.6690979736376156,0.0034227419319135532
-0.6362507377532952,0.003562220640551894
-0.553762190494927,0.003912490480290187
-0.5290650206570923,0.0040173616897926645
-0.4378707210308873,0.004404598630880552
-0.4115064922289986,0.004516548647024443
-0.32549859826873895,0.004881762634116882
-0.2922191619122565,0.005023076588921482
-0.2183746240971305,0.004516548647024443
-0.17836520895983798,0.005506532864727909
-0.1573726145976786,0.005595673392805034
-0.1124237654928193,0.028569743714008167
-0.11069496360417075,0.07276813007403388
-0.11069496360417075,0.10434170511894647
-0.11069496360417075,0.1356419158777561
-0.11069496360417075,0.16461853020468875
-0.11069496360417075,0.1985840427530038
-0.10723735982687388,0.24006466987060426
-0.10723735982687388,0.2874694541344649
-0.10723735982687388,0.37775484372717927
-0.10723735982687388,0.4841960626285894
-0.10516279756049562,0.5777091258717664
-0.10550855793822556,0.32729230339005233
-0.10377975604957701,0.6779576823735198
-0.10377975604957701,0.7851164825259505
-0.10377975604957701,0.8611800951341491
-0.10308823529411781,0.8981910885806581
-0.10377975604957701,0.43350166952578717
-0.10205095416092869,0.5368407106574391
-0.09963063151682094,0.9571690802410051
-0.10032215227228014,0.6229578017645931
-0.10032215227228014,0.7061972268829992
-0.0927154239622272,0.9871386676151122
-0.08649173716309266,1.012423955195837
-0.07439012394255373,1.055333736569101
-0.06436307298839283,1.0863809499046195
-0.060559708833366255,1.1254335201264112
-0.05018689750147565,1.1569614434229374
-0.04327168994688191,1.1895254287248418
-0.03635648239228817,1.2473713391743166
-0.021291208791208938,1.2903412997675339
-0.009271919470129397,1.3165279154429952
-0.012729523247426267,1.3342135709988432
-0.006390582989048488,1.4002101242864555
-0.009560053118237377,1.4456913171292844
-0.004003189904724591,1.4879130840660404
-0.0035092465079678004,1.5368498294552466
0.005875678030409448,1.1084936736554751
-0.00005164273067093106,1.1586991921366465
0.0034059610466259382,1.2082269804264079
0.008592366712571353,1.005532299967044
0.012790885585003187,0.905755078377132
0.0068635648239228075,1.300809643777414
0.016804175683651446,0.8162282309820166
0.01896517804446196,0.7709272767912525
0.02242278182175883,0.7141932414923595
0.020693979933110285,0.6698752582571634
0.031066791265000893,0.6107786493935283
0.03798199881959463,0.5452091273013762
0.04374467178175623,0.5116268753274554
0.06045642337202439,0.4201485658949746
0.053541215817430654,0.47261155186357195
0.07255803659256332,0.371000788264521
0.08465964981310248,0.3295798230334518
0.09503246114499309,0.2915472138091547
0.11232048003147743,0.24772857046837105
0.1313373008066101,0.212213874195483
0.15381172535903986,0.1716019477417965
0.17801495180011795,0.1372209558530565
0.21777739523903206,0.09393626718854403
0.25235343301200075,0.060257104021230856
0.28865827267361777,0.031456861220512555
0.32595099912874836,0.0037525618857988663
0.3595391501082037,-0.01405573472338395
0.4020182822292795,-0.0369290777044044
0.4364708341530592,-0.04964798908187745
0.47215824456873023,-0.06451440065193764
0.515131320086563,-0.07596233255615503
0.5502013012562883,-0.08694058444799618
0.5981138107416879,-0.09805068805142081
0.6361474522919535,-0.10728297731124031
0.6880115089514065,-0.11528231482843176
0.7122147353924846,-0.11700611150026302
0.7727228014951799,-0.12805108174055863
0.817671650600039,-0.12875719270304004
0.8608916978162502,-0.12626146183312165
0.907569348809758,-0.11804229148575235
0.9490605941373205,-0.10631304971235422
0.9905518394648829,-0.09142645043446485
1.0357476602681204,-0.06991212180503042
1.075263132008656,-0.05550660463528795
1.1132967735589219,-0.04292980831213655
1.198008066102695,-0.0236310806169599
1.2394993114302575,-0.017463093538972463
1.2857447619516034,-0.012315411567136003
1.3242106039740307,-0.011554090282485219
1.3639730474129448,-0.005644597627020298
1.4089218965178043,-0.0028226007719830415
1.4506601135437451,-0.0019277871769031174
1.4849891796183354,-0.0008252411943336924
