Default Dataset,
X,Y
-0.9469085562726226,-0.002466180270557672
-0.8900816407861134,-0.002466180270557672
-0.8332547252996043,-0.002466180270557672
-0.796850788594159,-0.0027630001182212816
-0.7302566004578426,-0.0027090328731915747
-0.6787565488206577,-0.002466180270557672
-0.6348044813740608,-0.002466180270557672
-0.5615510356297326,-0.002466180270557672
-0.509016945198677,-0.0029114100420528644
-0.46831937740967877,-0.002466180270557672
-0.39728573305154224,-0.002466180270557672
-0.34475043357833735,-0.002466180270557672
-0.3040540748314884,-0.002466180270557672
-0.23302043047335186,-0.002466180270557672
-0.18039186203434054,-0.007045686491650827
-0.1353282357797001,0.005242655201615598
-0.12055761762132611,0.7913922016828998
-0.12496345345289828,0.25505471956224346
-0.12431817117085608,0.17685011019911823
-0.12939612229004616,0.08775009228497588
-0.12105868696221456,0.6526044300736507
-0.12047069679111289,0.5718802249582005
-0.1207595369605905,0.4655148325480061
-0.1232248948073138,0.37508866595733914
-0.12339089629441835,0.31395861833105343
-0.1137036303078105,0.8840074961939988
-0.10325213401255229,0.9675842556895908
-0.1089988212612969,0.709189086487308
-0.07646886330958402,1.0555196263558098
-0.05007499996707021,1.2024827213147002
-0.06198973104149408,1.1264881103173396
-0.03416179596161251,1.2923422577471992
-0.02268301847349541,1.3413658920358267
-0.01253684422663115,1.4082888736890107
0.0058545334019601825,1.4630278503226521
0.007908231239047714,1.253234425553167
0.0038028163527576986,1.1719386494908042
0.015243094031016646,0.9989309223987746
0.0136405572304239,1.0934916372520873
0.017628214115574803,0.8940346103205203
0.012673860863016584,1.3732938136494908
0.018751957556188303,0.8322505953285706
0.025253315725001446,0.7740501595987235
0.031694076701289875,0.6935348077215382
0.03662965714069344,0.6086521565403233
0.04206809359781749,0.5491735066119472
0.053919124745666736,0.4855056492881389
0.0687848098520083,0.4110979247230957
0.0756075031607939,0.35232852003850623
0.1029450843842381,0.28311373580439936
0.13100743340865195,0.2083140741223275
0.1688773459545294,0.14159347766884522
0.15823666315334384,0.20819110589972434
0.21140898905697014,0.08424895711945402
0.25507434454027145,0.04985120898253559
0.28302374573686495,0.02098258769485417
0.32037863648775233,0.0207782831243839
0.3248388714859052,-0.021165830673354424
0.37194609929059363,-0.013605019644691296
0.3869100591112773,-0.05182308065344987
0.43183816901300687,-0.05051283304019272
0.4831422288987419,-0.07573297945362478
0.5303540909271389,-0.08979867453989643
0.5791781622476571,-0.09405534099161539
0.627974221474741,-0.10862746085044295
0.6743173812231891,-0.1182110798669167
0.721811280072848,-0.11924358890843134
0.7785603505169696,-0.13915172011957244
0.8190465374368572,-0.1370739811859285
0.877658475555976,-0.12461019776127502
0.9243376822236706,-0.10127141215013147
0.9743167496121485,-0.08892170680816358
1.0231827160750233,-0.07775048708701249
1.0720460446277544,-0.06755067777639612
1.1208937655454665,-0.06309838006144419
1.168102828065553,-0.04900064192343612
1.218587794214743,-0.05471418306575648
1.270918383486454,-0.039271841380824846
1.316301167558408,-0.03920630972614525
1.3651558600957865,-0.0321867130690654
1.4140163780180666,-0.023021918422055254
1.4628171975214916,-0.03584106651822161
1.5141268841637754,-0.03303862457989215
1.5560629141277496,-0.030664065798584605
1.627105204969136,-0.027479998341831458
1.6759349001675308,-0.029665671765534807
1.7225651058878426,-0.02437148502811981
1.7913830376205102,-0.022865798891790856
1.8428870461229117,-0.021165830673354424
1.8868391135695084,-0.021165830673354424
1.9289935771484632,-0.029179966560267445
