Default Dataset,
X,Y
-0.9275972451256184,-0.0012138747649099724
-0.9053800077602094,-0.0016863164987223067
-0.8764671646134444,-0.0013793442811306234
-0.8475543214666795,-0.0014729133528029736
-0.8247283926666019,-0.0019473249618084942
-0.7942938209331651,-0.0016452774321994434
-0.7653809777864001,-0.0021393877931359384
-0.7425550489863225,-0.0022132581128773143
-0.7121204772528857,-0.0019112105832682635
-0.6847293626927926,-0.002400396256222126
-0.6634251624793869,-0.0020688005987165026
-0.6299471335726063,-0.0021771437343371947
-0.6025560190125132,-0.002666329407290946
-0.5797300902124357,-0.0023396584377681773
-0.5477737898923271,-0.0024430768854060148
-0.5216000582015713,-0.002527781518709471
-0.4975567465321563,-0.0026055915888369974
-0.46560044621204777,-0.0029760375626510793
-0.4397310602386264,-0.002792729732181809
-0.41386167426520504,-0.003219770532972288
-0.3803836453584246,-0.002984792563509253
-0.3529925307983315,-0.0034739782364630045
-0.3301666019982539,-0.0031473072669402358
-0.2982103016781452,-0.0035177532407543177
-0.2723409157047241,-0.003734986699549192
-0.24799325831797447,-0.003413240418009167
-0.21299350082452229,-0.00272542566308398
-0.18560238626442915,0.0027935080029253267
-0.15821127170433602,0.017391377558923615
-0.13995052866427393,0.039495565975750546
-0.12016805703754008,0.10191598615719255
-0.11864632845086809,0.14917493360238743
-0.11712459986419632,0.20224172974191335
-0.11408114269085257,0.2466919634742759
-0.11408114269085257,0.3089761339548617
-0.1125594141041808,0.38547459551634433
-0.11103768551750903,0.447553570664315
-0.11012464836550584,0.5041871541534857
-0.10768988262683088,0.5736811991658401
-0.10799422834416528,0.6329943382176819
-0.10951595693083704,0.3349965436930875
-0.10647249975749351,0.6954738546549171
-0.10403773401881855,0.753912960083579
-0.10282035114948096,0.8266793617667159
-0.100385585410806,0.8809047728323183
-0.09658126394412636,0.9423755490144188
-0.0836465709574159,1.0042173183578869
-0.06995101367736933,1.0505022719576034
-0.062357527403239965,1.075044229976572
-0.04864681346396349,1.1379649494063848
-0.038299059074595077,1.193206159446564
-0.03190779901057317,1.2405294561480666
-0.0217629417660945,1.2965724053918386
-0.01833349500436654,1.328819136297192
-0.009127340188185507,1.4215404498567092
0.00010912794645534518,1.480029640735575
0.0039058710835198074,1.3746349403355411
0.004613687069550787,1.255071074823551
0.007657144242894542,1.0976484987667483
0.006135415656222776,1.1517264975054002
0.006135415656222776,1.2045979476882769
0.010700601416238298,0.9942989967606148
0.009178872829566309,1.0459737477636815
0.004598530410320878,1.3127490695282753
0.013744058589581831,0.867718099977157
0.011461465709574181,0.9396226484320578
0.020483142330557147,0.7668171059342599
0.018309244349597353,0.8212405363585593
0.022570084392278478,0.6918839541030068
0.029265690173634784,0.6402405241155105
0.03291783878164711,0.5892798528699432
0.03809171597633143,0.5432409147943436
0.04265690173634695,0.48080178079856695
0.05026554466970601,0.42159718186986517
0.05970026190707167,0.35151197731206063
0.0685262877097681,0.31879924491780054
0.0807001164031429,0.26745050825919225
0.09439567368318946,0.2209994722931954
0.1217867882432826,0.16224411747281775
0.14156925987001645,0.127905206204861
0.1735255601901251,0.08307467712271888
0.19787321757687448,0.05591166160284289
0.23135124648365513,0.02467553827297453
0.25874236104374826,0.0013554991119603121
0.28765520419051316,-0.017162969265865913
0.3135245901639343,-0.03460347816302223
0.34091570472402744,-0.051247829169632775
0.3774371908041516,-0.0663195631470831
0.4139586768842758,-0.07658480165336268
0.43769764283635637,-0.08301688190888601
0.4656974488311183,-0.0898365898274075
0.49917547773789894,-0.0984898138006648
0.5229144436899795,-0.104441244509071
0.5509142496847415,-0.11139828086962605
0.5843922785915221,-0.12092888100031918
0.6072182073915995,-0.1267438431328476
0.6376527791250362,-0.13244991494220182
0.6756959937918325,-0.13831412395455783
0.7000436511785817,-0.13906048777772229
0.7289564943253466,-0.14115676329571575
0.763956251818799,-0.13779867327902928
0.7867821806188768,-0.13653740596788994
0.8172167523523135,-0.13963995939702667
0.8552599670191094,-0.1290152186680058
0.879607624405859,-0.12482157325691162
0.908520467552624,-0.12221148862605047
0.9435202250460764,-0.10847270352926641
0.9693896110194973,-0.10107965249204126
0.9952589969929186,-0.09498359229624304
1.0287370258996993,-0.07964248570310106
1.0576498690464642,-0.07292685285728162
1.0804757978465416,-0.06899531028438088
1.1109103695799787,-0.05934729933860672
1.1383014841400718,-0.05356133814642128
1.1596056843534774,-0.04978508740124332
1.193083713260258,-0.043591580919106976
1.2204748278203512,-0.04020886746250674
1.2433007566204286,-0.0386805726251912
1.2752570569405375,-0.03504560570636306
1.301430788631293,-0.033901983719256235
1.325474100300708,-0.032537845148032596
1.3574304006208164,-0.030238015860085232
1.3832997865942378,-0.029520652977263584
1.4091691725676592,-0.028002207515913646
1.4426472014744398,-0.02677541302065356
1.470038316034533,-0.024594323431845866
