"t" "enstrophy" "dissipation"
"1" 0.036276 0.742952363259285 0.0173803170993588
"2" 0.072552 0.737394732629307 0.0139620783087141
"3" 0.108828 0.733005999780049 0.0112630174632502
"4" 0.145104 0.729550112812232 0.00913054144565016
"5" 0.18138 0.726839650318894 0.00745116265753311
"6" 0.217656 0.724730911960072 0.00612657575298889
"7" 0.253932 0.723103914771079 0.00507572592514312
"8" 0.290208 0.721867688461315 0.00424294913797001
"9" 0.326484 0.720946302436976 0.00357385937895159
"10" 0.36276 0.720282218348058 0.00302649969200812
"11" 0.399036 0.719831874047 0.00258300886513259
"12" 0.435312 0.719563670286653 0.00222564570939569
"13" 0.471588 0.71945204772598 0.00194025861493555
"14" 0.507864 0.719477268425907 0.00172415373046377
"15" 0.54414 0.719625673861601 0.00156911280916672
"16" 0.580416 0.71987938055722 0.00146039190507052
"17" 0.616692 0.720224149460311 0.0013849107254095
"18" 0.652968 0.720644233759187 0.00132226534706019
"19" 0.689244 0.721128917881532 0.00126104246444062
"20" 0.72552 0.721668881133897 0.00119407403266266
"21" 0.761796 0.722261454701805 0.0011215489769401
"22" 0.798072 0.722910516832273 0.00104992409429672
"23" 0.834348 0.723618123560621 0.000991690675359269
"24" 0.870624 0.724388636906881 0.000950694534241566
"25" 0.9069 0.725222613210022 0.000934044630688703
"26" 0.943176 0.726116504801256 0.000933579502148608
"27" 0.979452 0.72706474022801 0.000939204319664144
"28" 1.01573 0.728060256404244 0.000948859567418111
"29" 1.052 0.729100013622835 0.000951138433812917
"30" 1.08828 0.730181464012566 0.00094172551285108
"31" 1.12456 0.731306252401691 0.000928667446581671
"32" 1.16083 0.732474677116904 0.000913742354667075
"33" 1.19711 0.733690963109216 0.000896716858901268
"34" 1.23338 0.734956029547358 0.000882858638784069
"35" 1.26966 0.73627132775038 0.000873312358847428
"36" 1.30594 0.737635648285741 0.000861243371640235
"37" 1.34221 0.739048910524604 0.000847596303232708
"38" 1.37849 0.740510227549772 0.000837661059620229
"39" 1.41476 0.742020405649606 0.00082873712156545
"40" 1.45104 0.743580896143157 0.000828503743359743
"41" 1.48732 0.745191860288095 0.000836694207053817
"42" 1.52359 0.746853136826749 0.00085553116222543
"43" 1.55987 0.748563355068906 0.000873145660129122
"44" 1.59614 0.750319209232285 0.000886248179389973
"45" 1.63242 0.752116829132756 0.000886614916570483
"46" 1.6687 0.753955892254973 0.000872167694315006
"47" 1.70497 0.755836559856608 0.000846496091691649
"48" 1.74125 0.757762621492959 0.000814267672814173
"49" 1.77752 0.759739801811387 0.0007893739975432
"50" 1.8138 0.761771890367186 0.000776038100076642
"51" 1.85008 0.763862757344491 0.000780483399232083
"52" 1.88635 0.766009983878217 0.00079804233089655
"53" 1.92263 0.768211876762808 0.000826714510449658
"54" 1.9589 0.770461260031851 0.00085549782248169
"55" 1.99518 0.772756601737462 0.000876057331075986
"56" 2.03146 0.775090000253704 0.000880724895189354
"57" 2.06773 0.777461133065233 0.000871834296878236
"58" 2.10401 0.779874515386869 0.000850607993410635
"59" 2.14028 0.782335468721794 0.000826381113013046
"60" 2.17656 0.784848185769485 0.000803487822361987
"61" 2.21284 0.787416778600581 0.000793708164219795
"62" 2.24911 0.790043666080165 0.000798486860812008
"63" 2.28539 0.79272796129104 0.000810489168531879
"64" 2.32166 0.795461440091926 0.000827159040365116
"65" 2.35794 0.79824353808097 0.000845607031860656
"66" 2.39422 0.801068691868482 0.000859720856679521
"67" 2.43049 0.803939804092562 0.000865499745581647
"68" 2.46677 0.806855423434159 0.000874501476371609
"69" 2.50304 0.80981933944857 0.000881058292626124
"70" 2.53932 0.812831794022303 0.000883280942203726
"71" 2.5756 0.815891738980489 0.000884947929387026
"72" 2.61187 0.818995142881324 0.00088116942510489
"73" 2.64815 0.822145956537775 0.000869833912258324
"74" 2.68442 0.825342406115449 0.000855720087439377
"75" 2.7207 0.828590780663561 0.000848274211354029
"76" 2.75698 0.831892208985816 0.000847829681438492
"77" 2.79325 0.835246852339885 0.000860546228415197
"78" 2.82953 0.838655033241113 0.000886503784091482
"79" 2.8658 0.842113607164894 0.00092362203204025
"80" 2.90208 0.845615317515978 0.000957739703058874
"81" 2.93835 0.84915516530653 0.000980077331315315
"82" 2.97463 0.852733795567238 0.000990079254415429
"83" 3.01091 0.856349515092544 0.000979521668920932
"84" 3.04718 0.860004500861022 0.000956183848354497
"85" 3.08346 0.863704477520035 0.00093529094232343
"86" 3.11973 0.867452589594189 0.000921843912378027
"87" 3.15601 0.871254319844339 0.000921955044856871
"88" 3.19229 0.875107733178418 0.000944181540634547
"89" 3.22856 0.879013635884786 0.000975187502244257
"90" 3.26484 0.882966545202591 0.00100741592112197
"91" 3.30111 0.886959365794257 0.00104220038701398
"92" 3.33739 0.890988630619833 0.00106631613493264
"93" 3.37367 0.895050872639367 0.00107954089992052
"94" 3.40994 0.899146817512383 0.00108498639138595
"95" 3.44622 0.90327775530026 0.00108631998113256
"96" 3.48249 0.9074477174448 0.00108098562214589
"97" 3.51877 0.911659122811087 0.00107820731017375
"98" 3.55505 0.915913745233515 0.00107676258794814
"99" 3.59132 0.920211262196739 0.00108254147685035
"100" 3.6276 0.924552963762136 0.00109321019482369
"101" 3.66387 0.928935302260919 0.00111388083589691
"102" 3.70015 0.933357471404727 0.00113788545133673
"103" 3.73643 0.93781495597874 0.00116633536593206
"104" 3.7727 0.942305982148563 0.00119422961813311
"105" 3.80898 0.94682861482213 0.00122179047289729
"106" 3.84525 0.951383015257115 0.00124457263106943
"107" 3.88153 0.95596950596886 0.00126113137042382
"108" 3.91781 0.96058389425789 0.00127246688327039
